setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
D,10.671600,4.720000,26.395000,-6.384000,18.560000,5,b5,2.000000,3.000000,Em,-0.027784,0.003950,365.000000,0.016629,21949.295150,816.000000,10394.000000,-11.883431,0.438216,7.414943,0.428866,0,12.153069,13,6.780352,0.060662,4.499070,0.056923,0,189.813884,9,-18.663783,0.442395,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,5,b5,2.000000,3.000000,Pmz,-0.034090,0.043911,480.000000,0.074082,6479.279550,816.000000,10394.000000,10.048630,0.641102,10.843700,0.721776,0,61.936769,10,-6.541293,0.080244,5.884549,0.062022,0,804.099361,7,16.589922,0.646105,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,5,b5,2.000000,3.000000,Pmy,-0.027473,0.036371,675.000000,0.114166,5912.441531,816.000000,10394.000000,3.784735,0.443314,11.103093,0.410057,0,15.868610,8,0.190690,0.072297,7.039901,0.059335,0,35.504939,5,3.594045,0.449170,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,0,full,-10.000000,22.000000,W,0.890022,1.018161,5824.000000,0.980315,5940.948011,9584.000000,93210.000000,950.722470,0.504613,33.479733,0.535832,0,47.806612,16,948.202940,0.097678,22.181656,0.093078,0,483.584666,11,2.519530,0.513980,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,0,full,-10.000000,22.000000,Em,-0.025636,0.008548,4861.000000,0.614556,7909.769194,9584.000000,93210.000000,-8.441661,0.164085,8.965211,0.162510,0,92.620467,14,6.386934,0.022134,4.544549,0.020463,0,756.496944,8,-14.828595,0.165571,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,0,full,-10.000000,22.000000,Pmz,-0.031501,0.039422,5953.000000,0.893213,6664.700654,9584.000000,93210.000000,7.841914,0.187416,10.992826,0.175014,0,494.155860,9,-6.052338,0.027830,5.762229,0.020565,0,5401.917328,6,13.894252,0.189471,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,0,full,-10.000000,22.000000,Pmy,-0.024239,0.040534,7874.000000,1.308635,6016.957274,9584.000000,93210.000000,7.784893,0.136400,11.650294,0.128744,0,142.602417,8,-0.355804,0.027064,7.700388,0.021221,0,91.232403,5,8.140697,0.139059,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,-2.000000,-1.000000,W,0.878873,1.016776,407.000000,0.072163,5639.986332,736.000000,10131.000000,948.878923,2.657087,40.448634,2.959589,0,25.374877,17,949.357451,0.349813,26.531753,0.341065,0,54.399609,13,-0.478528,2.680015,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,-2.000000,-1.000000,Em,-0.028548,0.002408,300.000000,0.014395,20840.981792,736.000000,10131.000000,-13.500549,0.436141,6.663862,0.394908,0,15.274908,12,6.504052,0.060377,4.150178,0.055330,0,263.345423,9,-20.004601,0.440300,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,-2.000000,-1.000000,Pmz,-0.030893,0.046099,387.000000,0.064695,5981.944892,736.000000,10131.000000,13.293009,0.649220,11.181394,0.722837,0,42.226832,10,-6.844667,0.100296,6.712967,0.071843,0,782.494449,7,20.137676,0.656922,1
