fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpe_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse,det_AtA,maxAbsAtA,near_singular_warn,large_param_warn
dpeDppDthp,1,1,0,0,0,data_minus_sim,23840,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.531604,0.32977,186.740051,16.608879,-10.709578,0.094512,-13.239251,0.11857,0,-6.21174629546066,9.88161065095688,-27.8136434689624,53.5621503805096,102.350213258316,-88.7236483716372,-13.239251,-32.0305463805096,84.3898377416843,78.0140703716372,0,14233.7957914526,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23840,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.075773,0.362565,24.962315,0.134675,-16.174635,0.198354,-15.529435,0.268824,0,-103.968021532943,255.974169461188,252.521989506486,896.487161457483,203.035829372814,148.445182425522,-15.5294349999999,67.5886115425174,-178.073514372814,-164.619817425522,-7.8159700933611e-14,63378.0812205423,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23841,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.192509,0.119308,135.191432,1.3861,-10.056658,0.059903,-10.21588,0.071099,0,-4.19235114596264,6.10621946746177,-21.4490726661635,36.1494709936958,74.7074716368116,-65.9709726426308,-10.21588,-22.9569619936958,60.4839603631884,55.9143146426308,1.77635683940025e-15,7311.74214715086,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23841,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.644117,0.320784,130.23626,2.938709,-10.130305,0.185974,-7.410035,0.222786,0,-3.37702528960549,5.27874100525827,-22.4340117015798,29.1191442465728,71.0220374248797,-64.8708122766884,-7.410035,-22.4750272465728,59.2142225751202,54.7405072766884,2.66453525910038e-15,7007.97414181924,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23841,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.817599,0.236229,122.206936,2.056694,-9.663695,0.114043,-7.495708,0.12679,0,-3.44358626761935,5.40932654421517,-20.396408260692,29.6930809375251,67.2069833748029,-60.508326170791,-7.495708,-20.8754819375251,54.9999526251971,50.844631170791,8.88178419700125e-16,6045.95705379164,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23841,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.609115,0.208569,129.317225,2.814748,-9.917448,0.106079,-10.968771,0.119934,0,-4.21825982848378,5.84074416076511,-20.0636760050896,36.3728743143324,71.9769568894576,-62.9255806284479,-10.968771,-21.7637593143324,57.3402681105424,53.0081326284479,7.105427357601e-15,6571.4296912362,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23841,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.582258,0.362477,186.237103,12.592691,-10.949081,0.123922,-13.405001,0.154186,0,-6.20124437547315,9.78220248535781,-27.7866537536984,53.4715952626893,102.219304323742,-88.6192203651575,-13.405001,-31.8893372626893,84.0177986762581,77.6701393651575,5.32907051820075e-15,14108.5708744608,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23841,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,963.195482,0.747266,25.170557,0.261526,-16.223231,0.450374,-15.588218,0.568438,0,-103.876887183275,255.71796791043,252.23533487899,895.701335457902,202.995187511673,148.16650607963,-15.588218,67.4941465420978,-177.824630511673,-164.38973707963,-1.59872115546023e-14,63201.044691169,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23842,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.155856,0.099538,131.712951,1.917381,-9.976376,0.048472,-10.153478,0.056268,0,-4.1134324297717,5.93416743030286,-20.866583673069,35.4689769838962,72.9252975840293,-64.3225419994587,-10.153478,-22.3131209838962,58.7876534159707,54.3461659994587,1.06581410364015e-14,6907.369321039,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23842,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,5.941647,0.258656,130.06571,2.13912,-9.965215,0.138097,-6.561971,0.152198,0,-3.30103508660694,5.45946215170803,-22.548878265403,28.4639019866904,70.7270580355685,-64.8207508558846,-6.56197099999999,-22.5222549866904,59.3386519644315,54.8555358558846,-1.06581410364015e-14,7037.45740067768,3979.51142220752,174.056876024388,0,0
