toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_A,dthe_B,dthe_C,dthe_E,dthe_D,dpe_A,dpe_B,dpe_C,dpe_E,dpe_D,dpp_A,dpp_B,dpp_C,dpp_E,dpp_D,dthp
81,True,Optimization terminated successfully.,9831,13009,4197.0915,0,1,-0.0524,-1.1016,0.2552,-1.0462,-1.5804,-0.4891,0.5441,-0.3276,0.7739,1.0395,-1.4485,0.1806,1.0402,1.0944,0.3990,0.9921
82,True,Optimization terminated successfully.,8695,11536,2170.5757,0,1,0.2965,-1.1404,-1.6192,-0.7544,-1.1266,-0.9839,0.7295,1.2669,0.8323,2.3391,0.2594,-0.4528,0.7749,1.2198,-0.2707,0.4947
83,True,Optimization terminated successfully.,18178,23905,831.4748,0,1,-0.1555,-1.3146,-0.5730,0.6569,0.1857,-0.2624,1.4550,0.5733,-0.7061,-0.4821,-2.1847,-1.4296,2.0290,4.4402,3.8368,1.5055
84,True,Optimization terminated successfully.,15494,20449,501.4254,0,1,-0.2028,-0.5423,0.0383,-0.7563,-0.8597,-0.1997,0.2347,-0.0279,1.0744,0.7828,-2.3955,0.5447,3.1284,1.5287,1.6766,1.5223
85,True,Optimization terminated successfully.,8278,11006,6861.3166,0,1,-0.1555,-1.1789,-0.7384,-0.8213,0.0228,-0.3069,0.9722,0.0145,-0.0062,0.5838,-2.0705,-0.3718,0.5195,1.5207,0.0577,1.2492
86,True,Optimization terminated successfully.,19736,25760,1047.6925,0,1,0.2242,0.1736,-0.7676,-0.4789,-2.0839,-0.9096,-1.3021,0.6413,-0.2907,2.8772,-0.0148,3.0604,1.4714,3.1004,-1.3168,0.4735
87,True,Optimization terminated successfully.,8792,11691,3931.1503,0,1,0.4050,-0.6162,-0.8099,-1.5097,-2.0924,-1.2118,-0.3434,-0.8716,1.4085,0.6254,0.9902,1.0629,2.7811,0.6141,0.0084,0.0371
88,True,Optimization terminated successfully.,13337,17544,1754.0097,0,1,-0.3013,-0.9511,-0.2838,-0.8646,-0.3288,-0.0330,0.9078,0.4916,1.2552,0.3355,-2.9452,-0.2608,0.7793,0.9842,3.0185,1.8135
89,True,Optimization terminated successfully.,8778,11626,3396.6930,0,1,0.2012,-1.0524,-0.7804,-1.1794,-1.1667,-0.8941,0.5001,-0.2389,0.7224,-0.0706,-0.0642,0.1693,2.3429,1.5486,0.6667,0.4476
90,True,Optimization terminated successfully.,12279,16166,1625.3521,0,1,-0.4421,-0.4663,-1.6677,-0.3335,-0.1195,0.1686,0.2709,2.9327,0.7543,-0.0684,-3.6519,0.5806,-1.1470,2.2086,1.8835,1.9876
91,True,Optimization terminated successfully.,24534,31917,532.2662,0,1,-0.0440,-0.1031,-0.2125,-0.7281,-1.0358,-0.4646,-0.5922,0.4497,0.9246,1.1658,-1.5140,1.8950,2.3337,1.5967,1.1289,1.1410
92,True,Optimization terminated successfully.,18271,23896,498.2273,0,1,-0.1741,-0.6418,0.2178,-1.1529,-0.8660,-0.2426,0.3460,-0.3074,1.8638,0.9694,-2.2410,0.4128,3.4632,0.3383,1.7165,1.4787
93,True,Optimization terminated successfully.,13359,17574,682.5882,0,1,-0.1296,-0.6509,-0.2740,-0.8287,-0.8142,-0.3223,0.3352,0.6957,1.1336,0.3173,-1.9749,0.2976,2.3202,1.4965,1.9643,1.3699
94,True,Optimization terminated successfully.,17901,23522,823.5750,0,1,-0.1157,-0.5084,-1.9011,-1.5649,-0.5281,-0.3247,0.1786,3.2471,2.5994,0.5440,-1.9543,0.6465,-1.8428,-0.7157,2.3002,1.4377
95,True,Optimization terminated successfully.,10401,13802,4328.5553,0,1,0.1967,-1.1379,-0.9324,-1.0425,-1.5200,-0.8360,0.6065,0.8464,0.5754,0.0512,-0.2182,0.0411,-0.1828,1.5400,0.4661,0.7497
96,True,Optimization terminated successfully.,9181,12129,3046.1095,0,1,-0.1405,-0.4760,-1.2136,-0.3315,-1.5751,-0.3807,-0.3970,0.6017,-0.6379,0.0195,-1.8449,1.1942,0.7519,3.4731,1.4502,0.9350
97,True,Optimization terminated successfully.,16634,21806,705.0041,0,1,-0.2217,-1.1288,0.5776,-1.4090,-0.0593,-0.1644,1.2051,-0.7263,2.4037,-0.2512,-2.4939,-0.9511,4.1292,-0.4453,3.4418,1.6250
98,True,Optimization terminated successfully.,40593,52806,589.2123,0,1,-0.1380,-0.5895,-0.8201,0.4855,-0.2698,-0.3032,0.1837,1.0732,-1.1017,-0.5732,-2.0477,0.6216,1.3515,4.8466,3.6924,1.3348
99,True,Optimization terminated successfully.,20428,26640,831.0025,0,1,0.0777,-0.9824,0.2993,-0.3700,-0.9673,-0.6137,0.9330,-0.3997,0.2169,1.1473,-0.9692,-0.5957,3.6207,2.9855,1.1221,1.1413
100,True,Optimization terminated successfully.,17111,22427,1330.7137,1,0,-0.7077,-2.5180,-1.1106,-0.5126,-0.3920,0.6361,3.7768,2.1357,1.5207,0.2174,-5.2030,-5.0520,0.2328,1.0437,2.1825,2.7252
101,True,Optimization terminated successfully.,9692,12769,2564.4736,0,1,-0.0738,-0.6950,-1.8413,-0.3358,-1.5728,-0.4227,0.2594,2.0155,-0.6444,0.2619,-1.6479,0.4080,-0.4046,3.4417,0.3084,1.1789
102,True,Optimization terminated successfully.,13853,18211,7904.0258,0,1,0.1895,-1.1930,-0.2934,-0.7958,1.0717,-0.8724,0.6963,-0.2434,-0.0344,1.0258,-0.1740,-0.6873,0.5747,1.8098,1.7641,0.4666
103,True,Optimization terminated successfully.,20835,27249,731.2100,0,1,-0.1908,-0.8715,-1.7928,-1.3397,-1.0613,-0.2055,0.7637,3.5890,1.9799,1.4903,-2.3601,-0.1663,-2.1852,0.1933,0.7149,1.6018
104,True,Optimization terminated successfully.,12150,16039,817.8471,0,1,-0.4114,-0.9479,-0.8855,-1.7918,-0.4737,0.1316,1.0231,1.3509,3.0909,-0.6675,-3.5106,-0.6646,0.7334,-1.3809,3.5115,1.9698
105,True,Optimization terminated successfully.,10815,14291,1375.8559,0,1,0.3612,-0.8905,0.1815,0.1799,-1.3494,-1.0599,0.4632,-0.8208,-1.3403,2.3882,0.5619,0.0510,4.1020,4.7903,-0.8165,0.5781
106,True,Optimization terminated successfully.,21583,28164,1163.3796,0,1,-0.2318,-1.3464,-0.3112,-1.2025,-0.5393,-0.1553,1.4117,-0.2670,2.3176,0.4149,-2.5458,-1.3987,3.5870,-0.6908,2.1050,1.5262
107,True,Optimization terminated successfully.,8795,11644,4184.1277,0,1,-0.1656,-0.9072,-1.4244,-0.3616,-1.5335,-0.3281,0.2892,0.8906,-0.7896,-0.1067,-2.0110,0.2002,-0.0012,3.1431,1.1674,1.0909
108,True,Optimization terminated successfully.,14101,18482,498.3165,0,1,-0.4468,-1.0285,-0.4461,-1.2255,-1.0695,0.1955,1.1909,1.1243,2.2530,1.3743,-3.7377,-0.8910,1.4018,-0.1128,0.9498,2.0524
109,True,Optimization terminated successfully.,14072,18399,645.7703,0,1,-0.1187,-0.8193,-1.0927,-1.4923,-1.6028,-0.3002,0.7205,2.2007,2.5105,2.4423,-2.0076,-0.0329,-0.2867,-0.8950,-0.4216,1.5220
