Detector,2026 rsidis,2025 rsidis,diff,status
hchv13:14:003:V0Set,880,880,0,MATCH
hchv13:14:003:VMon,0,0,0,MATCH
hchv13:14:004:IMon,0,0,0,MATCH
hchv13:14:004:V0Set,1090,1090,0,MATCH
hchv13:14:004:VMon,0,0,0,MATCH
hchv13:14:005:IMon,0,0,0,MATCH
hchv13:14:005:V0Set,840,840,0,MATCH
hchv13:14:005:VMon,0,0,0,MATCH
hchv13:14:006:IMon,0,0,0,MATCH
hchv13:14:006:V0Set,950,950,0,MATCH
hchv13:14:006:VMon,0,0,0,MATCH
hchv13:14:007:IMon,0,0,0,MATCH
hchv13:14:007:V0Set,1090,1090,0,MATCH
hchv13:14:007:VMon,0,0,0,MATCH
hchv13:14:008:IMon,0,0,0,MATCH
hchv13:14:008:V0Set,880,880,0,MATCH
hchv13:14:008:VMon,0,0,0,MATCH
hchv13:14:009:IMon,0,0,0,MATCH
hchv13:14:009:V0Set,820,820,0,MATCH
hchv13:14:009:VMon,0,0,0,MATCH
hchv13:14:010:IMon,0,0,0,MATCH
hchv13:14:010:V0Set,870,870,0,MATCH
hchv13:14:010:VMon,0,0,0,MATCH
