run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
23993,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,494798,7292,51.3786,0.297523,7292,1,0,1,3,13.7713,3,4.59042,3.2687e-08,51.3786,0.297523,,OK
23994,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,580901,8615,51.396,0.284352,8615,1,0,1,3,9.91025,3,3.30342,2.24329e-06,51.396,0.284352,,OK
23995,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,376655,5433,51.395,0.326433,5433,1,0,1,3,14.4812,3,4.82708,2.19217e-06,51.395,0.326433,,OK
23996,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,260540,4078,51.393,0.279696,4078,1,0,1,3,1.87527,3,0.625089,1.36318e-06,51.393,0.279696,,OK
23998,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,119877,2037,51.4077,0.309155,2037,1,0,1,3,13.253,3,4.41766,6.02928e-06,51.4077,0.309155,,OK
23999,coin,PI-SIDIS,Dummy,-1.531,-4.868,CTime.ePiCoinTime_ROC2,221227,3013,51.3911,0.280207,3013,1,0,1,3,8.41759,3,2.80586,1.77708e-08,51.3911,0.280207,,OK
24001,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,449757,6425,51.3689,0.29957,6425,1,0,1,3,2.83125,3,0.943751,1.00642e-06,51.3689,0.29957,,OK
24002,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,470194,6477,51.3625,0.298626,6477,1,0,1,3,5.40137,3,1.80046,1.2276e-06,51.3625,0.298626,,OK
24003,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,451668,6233,51.3955,0.329805,6233,1,0,1,3,10.0903,3,3.36345,7.1521e-07,51.3955,0.329805,,OK
24004,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,135639,2152,51.3994,0.283026,2152,1,0,1,3,12.3186,3,4.10621,1.39165e-07,51.3994,0.283026,,OK
24005,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,465166,5709,51.3684,0.295545,5709,1,0,1,3,10.4713,3,3.49042,3.99324e-06,51.3684,0.295545,,OK
