run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
25043,shms,SHMSDIS,Cu,-3.642,-6.538,P.gtr.beta,1809015,894782,0.990686,0.0493863,894782,1,0,1,3,14.0142,10,1.40142,1.46609e-09,0.990686,0.0493863,,OK
25048,shms,SHMSDIS,LD2,-3.642,-4.868,P.gtr.beta,2082775,813528,0.993429,0.0474731,813528,1,0,1,3,33.0023,10,3.30023,2.06463e-07,0.993429,0.0474731,,OK
25055,shms,SHMSDIS,LH2,-3.642,-4.868,P.gtr.beta,1855219,703362,0.990971,0.048552,703362,1,0,1,3,8.06021,10,0.806021,4.90188e-07,0.990971,0.048552,,OK
25058,shms,SHMSDIS,Dummy,-3.642,-4.868,P.gtr.beta,1912637,766003,0.991925,0.0477963,766003,1,0,1,3,21.5485,10,2.15485,3.58549e-07,0.991925,0.0477963,,OK
25082,shms,SHMSDIS,LD2,-3.642,-3.632,P.gtr.beta,1961768,594892,0.99261,0.0460125,594892,1,0,1,3,27.5833,10,2.75833,1.63666e-06,0.99261,0.0460125,,OK
25090,shms,SHMSDIS,LH2,-3.642,-3.632,P.gtr.beta,1935887,630177,0.992053,0.0462764,630177,1,0,1,3,7.3839,10,0.73839,1.00319e-07,0.992053,0.0462764,,OK
25095,shms,SHMSDIS,Dummy,-3.642,-3.632,P.gtr.beta,1958566,618203,0.992367,0.0471319,618203,1,0,1,3,4.84382,10,0.484382,1.34067e-07,0.992367,0.0471319,,OK
25143,shms,SHMSDIS,LD2,-3.642,-4.868,P.gtr.beta,1397873,557259,0.992613,0.046093,557259,1,0,1,3,8.78149,10,0.878149,4.93427e-07,0.992613,0.046093,,OK
25144,shms,SHMSDIS,LD2,-3.642,-4.868,P.gtr.beta,697001,277699,0.992443,0.0463787,277699,1,0,1,3,14.3933,10,1.43933,6.44876e-08,0.992443,0.0463787,,OK
25153,shms,SHMSDIS,LH2,-3.642,-4.868,P.gtr.beta,916600,387954,0.993028,0.0476251,387954,1,0,1,3,6.44355,10,0.644355,6.33016e-10,0.993028,0.0476251,,OK
25156,shms,SHMSDIS,Dummy,-3.642,-4.868,P.gtr.beta,1164605,500473,0.992133,0.0455526,500473,1,0,1,3,18.8595,10,1.88595,4.48077e-06,0.992133,0.0455526,,OK
25188,shms,SHMSDIS,LH2,-3.642,-3.632,P.gtr.beta,2091072,630479,0.99155,0.0456883,630479,1,0,1,3,9.51616,10,0.951616,8.04805e-08,0.99155,0.0456883,,OK
25191,shms,SHMSDIS,Dummy,-3.642,-3.632,P.gtr.beta,2044419,644682,0.991245,0.0456083,644682,1,0,1,3,12.3227,10,1.23227,1.36662e-07,0.991245,0.0456083,,OK
25213,shms,SHMSDIS,LH2,-3.642,-2.615,P.gtr.beta,1729706,400112,0.990401,0.0480624,400112,1,0,1,3,22.5831,10,2.25831,9.22514e-08,0.990401,0.0480624,,OK
25216,shms,SHMSDIS,Dummy,-3.642,-2.615,P.gtr.beta,1977698,452845,0.990246,0.0463383,452845,1,0,1,3,18.1873,10,1.81873,4.89491e-08,0.990246,0.0463383,,OK
25239,shms,SHMSDIS,LH2,-3.642,6.538,P.gtr.beta,2253701,47145,0.98418,0.0508984,47145,1,0,1,3,8.79511,10,0.879511,1.43399e-08,0.98418,0.0508984,,OK
25244,shms,SHMSDIS,Dummy,-3.642,6.538,P.gtr.beta,2245799,48113,0.983713,0.0458952,48113,1,0,1,3,11.2668,10,1.12668,3.2326e-06,0.983713,0.0458952,,OK
25261,shms,SHMSDIS,LD2,-3.642,4.868,P.gtr.beta,1705617,78771,0.982906,0.0456526,78771,1,0,1,3,9.93381,10,0.993381,4.46428e-06,0.982906,0.0456526,,OK
25268,shms,SHMSDIS,LH2,-3.642,4.868,P.gtr.beta,1719128,76546,0.984652,0.0474441,76546,1,0,1,3,15.0659,10,1.50659,9.0133e-10,0.984652,0.0474441,,OK
25271,shms,SHMSDIS,Dummy,-3.642,4.868,P.gtr.beta,1477785,64561,0.982471,0.0485642,64561,1,0,1,3,9.50427,10,0.950427,4.52978e-07,0.982471,0.0485642,,OK
25285,shms,SHMSDIS,LD2,-3.642,3.632,P.gtr.beta,1457381,98146,0.984168,0.0477299,98146,1,0,1,3,5.919,10,0.5919,5.85776e-09,0.984168,0.0477299,,OK
25292,shms,SHMSDIS,LH2,-3.642,3.632,P.gtr.beta,1527624,103592,0.982448,0.0452079,103592,1,0,1,3,13.6054,10,1.36054,6.88561e-08,0.982448,0.0452079,,OK
