fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse
dpeOnly,1,1,1,1,data_minus_sim,23848,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.278605,0.230064,132.013495,1.608594,-10.378756,0.125188,-7.167607,0.135597,0,-6.14730432278887,0,0,53.0064852797656,43.4039675740441,-25.188111405247,-35.3477502113719,-46.7278802797656,88.6095274259559,14.809355405247,28.1801432113719,11048.5806250237
dpeOnly,1,1,1,1,data_minus_sim,23848,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.306108,0.171103,123.003068,2.046696,-9.645421,0.083015,-7.99735,0.092601,0,-5.94192418197127,0,0,51.2355497868461,41.9538501722826,-24.3465819159453,-34.1667893324571,-41.9294417868461,81.0492178277174,14.7011609159453,26.1694393324571,9228.01748629297
dpeOnly,1,1,1,1,data_minus_sim,23848,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.198727,0.161401,126.924855,3.281456,-10.014513,0.081644,-11.231883,0.089835,0,-6.50847495935895,0,0,56.1207586304219,45.9540672234581,-26.667980588965,-37.4245254570408,-40.9220316304219,80.9707877765419,16.653467588965,26.1926424570408,9194.27364753412
dpeOnly,1,1,1,1,data_minus_sim,23848,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.978302,0.33741,189.827606,15.603494,-11.02615,0.102122,-13.557468,0.126685,0,-9.49663742786272,0,0,81.8868475668543,67.0524381643769,-38.9117487841769,-54.6068243935197,-59.9085455668543,122.775167835623,27.8855987841768,41.0493563935197,21125.4319488756
dpeOnly,1,1,1,1,data_minus_sim,23848,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,965.163444,0.450771,25.4066,0.191735,-16.266375,0.256234,-15.908872,0.361283,0,-49.7529879566303,0,0,429.006095236072,351.28846118386,-203.859079946604,-286.085753724733,536.157348763928,-325.88186118386,187.592704946604,270.176881724733,501850.260449904
dpeOnly,1,1,1,1,data_minus_sim,23849,0,full,-10,20,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,19.365838,0.294696,3.988586,0.112943,-0.576284,0.134699,-10.071908,0.136234,0,-1.69721260811777,0,0,14.6345894728711,9.60783944171514,-6.25474110905873,-7.29306467792709,4.73124852712886,-5.61925344171514,5.67845710905873,-2.77884332207291,93.9275672157352
dpeOnly,1,1,1,1,data_minus_sim,23849,1,b1,-2,-1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,10.541527,0.925988,-1.965297,0.23527,4.802919,0.297804,-6.425862,0.402583,0,-0.647795529330734,0,0,5.58575960888614,3.66713952459554,-2.38732219416098,-2.78363162687113,4.95576739111386,-5.63243652459554,7.19024119416098,-3.64223037312887,121.249382159577
dpeOnly,1,1,1,1,data_minus_sim,23849,2,b2,-1,0,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,13.117493,0.815898,0.682134,0.227784,1.654847,0.310792,-7.702907,0.33602,0,-1.03992487425652,0,0,8.96698124005173,5.88696500103371,-3.83243727405402,-4.4686442534439,4.15051175994827,-5.20483100103371,5.48728427405402,-3.2342627465561,84.8877578368316
dpeOnly,1,1,1,1,data_minus_sim,23849,3,b3,0,1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,15.501274,0.754546,2.585812,0.208907,0.18456,0.293566,-9.803945,0.338664,0,-1.37058617900776,0,0,11.8181811583489,7.75882284043618,-5.05102405929848,-5.88952356491271,3.68309284165107,-5.17301084043618,5.23558405929848,-3.91442143508729,83.0592496489428
dpeOnly,1,1,1,1,data_minus_sim,23849,4,b4,1,2,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,21.683814,0.701176,5.294871,0.218219,-1.429042,0.289818,-11.81723,0.339031,0,-1.97186895716138,0,0,17.0028743271938,11.1626559040941,-7.26693271605617,-8.47328600564856,4.68093967280617,-5.86778490409411,5.83789071605617,-3.34394399435144,101.605025351139
dpeOnly,1,1,1,1,data_minus_sim,23849,5,b5,2,3,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,25.624646,0.66583,9.659712,0.276337,-3.836743,0.271012,-12.3718,0.349111,0,-2.47709818399572,0,0,21.3593245969196,14.0227344054373,-9.12885502293985,-10.6442982941846,4.26532140308038,-4.3630224054373,5.29211202293985,-1.72750170581542,68.2196429888632
dpeOnly,1,1,1,1,data_minus_sim,23850,0,full,-10,20,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,19.234531,0.276174,3.887077,0.107656,-0.770276,0.121492,-10.105921,0.131412,0,-1.69110338772794,0,0,14.5819113746901,9.5732554371309,-6.2322267866139,-7.26681284641132,4.65261962530988,-5.6861784371309,5.4619507866139,-2.83910815358868,91.8729360998771
dpeOnly,1,1,1,1,data_minus_sim,23850,1,b1,-2,-1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,11.075022,0.769426,-1.777965,0.206645,4.397174,0.288469,-5.703749,0.304632,0,-0.677070663114327,0,0,5.83819089689159,3.83286465748825,-2.49520990479525,-2.90942932782946,5.23683110310841,-5.61082965748825,6.89238390479525,-2.79431967217054,114.218987769193
dpeOnly,1,1,1,1,data_minus_sim,23850,2,b2,-1,0,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,11.098082,0.793982,1.189041,0.208835,0.860338,0.296341,-6.815612,0.326782,0,-0.928486256887962,0,0,8.00607722083056,5.25611631527522,-3.42175230868319,-3.98978318430007,3.09200477916944,-4.06707531527522,4.28209030868319,-2.82582881569993,52.4232010818863
dpeOnly,1,1,1,1,data_minus_sim,23850,3,b3,0,1,8583.1,19.34,5660.95219641949,3744.68294441193,30.0426629097654,938.3,17.241931,0.674502,3.014577,0.212671,-0.351215,0.288571,-10.420918,0.302394,0,-1.52994363544987,0,0,13.1922759201464,8.66093778349796,-5.63830442068401,-6.57429589760893,4.04965507985363,-5.64636078349796,5.28708942068401,-3.84662210239107,91.0309125041203
