run,setting,ebeam_MeV,dp_idx,dp_label,dp_lo,dp_hi,dp_center,var,entries,fit_lo_GeV,fit_hi_GeV,mu_seed_GeV,sig_seed_GeV,peak_GeV,peak_err_GeV,sigma_GeV,sigma_err_GeV,peak_MeV,peak_err_MeV,sigma_MeV,sigma_err_MeV,fit_status,chi2,ndf,chi2_ndf,fit_valid
23846,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,42360.000000,0.925845,1.004585,0.965215,0.019685,0.964567,0.000088,0.016007,0.000083,964.566747,0.087987,16.007396,0.082908,0,295.152107,8,36.894013,1
23846,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,42360.000000,0.010135,0.038347,0.024241,0.007053,0.023711,0.000037,0.006276,0.000035,23.710703,0.037196,6.276374,0.034697,0,404.756505,11,36.796046,1
23846,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,1969.000000,0.928195,1.001522,0.964858,0.018332,0.964404,0.000380,0.014352,0.000347,964.403790,0.380003,14.351561,0.346551,0,16.093510,7,2.299073,1
23846,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,1969.000000,0.012211,0.037013,0.024612,0.006200,0.025296,0.000145,0.005314,0.000124,25.296393,0.145353,5.313774,0.124360,0,23.498768,10,2.349877,1
23847,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,216516.000000,0.911396,1.011961,0.961679,0.025141,0.959097,0.000060,0.021316,0.000057,959.096695,0.060149,21.315593,0.057369,0,2280.675045,12,190.056254,1
23847,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,216516.000000,0.005614,0.034456,0.020035,0.007211,0.019539,0.000024,0.006866,0.000023,19.538535,0.023698,6.866173,0.022759,0,2879.911966,11,261.810179,1
23847,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,32243.000000,0.904232,1.009573,0.956903,0.026335,0.953702,0.000173,0.022472,0.000166,953.701568,0.172601,22.471964,0.166487,0,898.405398,13,69.108108,1
23847,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,32243.000000,0.004298,0.031342,0.017820,0.006761,0.017031,0.000051,0.005536,0.000047,17.030571,0.050569,5.536409,0.046864,0,687.846450,11,62.531495,1
23847,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,48540.000000,0.906753,1.007999,0.957376,0.025312,0.954681,0.000122,0.021493,0.000120,954.680664,0.122154,21.492966,0.119894,0,690.949492,11,62.813590,1
23847,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,48540.000000,0.004486,0.031031,0.017759,0.006636,0.017055,0.000037,0.005645,0.000033,17.055288,0.036730,5.645495,0.033461,0,1355.753074,11,123.250279,1
