toy,success,message,nit,nfev,chi2,max_abs_pull,exact_inversion_flag,physical_branch_flag,dpe_C,dpe_E,dpe_D,dtheta_e_C,dtheta_e_E,dtheta_e_D,dtheta_p_common,dpp_common
100,True,Optimization terminated successfully.,3041,4595,20.763151,2.102054,1,0,45.814175,45.971995,46.003373,-20.141054,-20.275156,-20.519004,23.258586,-62.107245
101,True,Optimization terminated successfully.,3087,4607,31.530990,2.425815,0,1,1.457619,1.591673,1.523635,-0.759821,-0.907045,-1.118335,-1.244699,0.777484
102,True,Optimization terminated successfully.,2765,4142,38.530917,2.813240,0,1,2.356924,2.536904,2.481474,-1.149748,-1.309993,-1.573844,-0.723418,-0.501789
103,True,Optimization terminated successfully.,2844,4249,38.888317,2.854222,0,1,1.754685,1.880231,1.775926,-0.822514,-0.983434,-1.152273,-0.994080,0.449211
104,True,Optimization terminated successfully.,3169,4754,29.030778,2.803622,0,1,9.076297,9.129823,9.179299,-4.054141,-4.150314,-4.440606,2.866468,-9.939301
105,True,Optimization terminated successfully.,2649,3966,29.086707,3.226256,0,1,1.372530,1.525935,1.412104,-0.691192,-0.785514,-0.995347,-1.248166,0.918618
106,True,Optimization terminated successfully.,2669,3985,36.076703,2.769166,0,1,1.194830,1.397200,1.376008,-0.644548,-0.771104,-0.966267,-1.283367,1.108911
107,True,Optimization terminated successfully.,2777,4127,17.636962,2.187915,0,1,1.561211,1.642879,1.625600,-0.759637,-0.883865,-1.064026,-1.175370,0.682770
108,True,Optimization terminated successfully.,2427,3621,51.398235,2.921175,0,1,0.919660,1.075134,1.052157,-0.508695,-0.626821,-0.827734,-1.488975,1.520675
109,True,Optimization terminated successfully.,2817,4236,30.130466,2.564959,0,1,3.987998,4.132453,4.085592,-1.793187,-2.005426,-2.170147,0.226542,-2.769051
110,True,Optimization terminated successfully.,2577,3864,24.793136,2.478505,0,1,1.646327,1.757733,1.730304,-0.868326,-0.955956,-1.263280,-1.156956,0.575580
