setting,run,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,used_in_fit,used_in_summary,fit_valid,y_obs_MeV,y_err_MeV,coeff_dthe,coeff_dpe,coeff_dthp,coeff_dpp,fixed_dthe_mrad,fixed_dthp_mrad,fixed_dpp_tenthpct,fixed_term_MeV,dpe_fit_tenthpct,dpe_fit_err_tenthpct,y_pred_MeV,resid_MeV
A,23840,3,b3,0,1,0.5,Em,1,1,1,13.3338,0.046546,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,-0.37342
A,23840,3,b3,0,1,0.5,Pmz,1,1,1,-9.62392,0.070919,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,0.0778566
A,23840,3,b3,0,1,0.5,Pmy,1,1,1,10.0321,0.065362,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.437772
A,23841,3,b3,0,1,0.5,W,1,1,1,14.8179,0.2071,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.31921
A,23841,3,b3,0,1,0.5,Em,1,1,1,13.6687,0.073979,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,-0.0385471
A,23841,3,b3,0,1,0.5,Pmz,1,1,1,-9.91767,0.106071,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,-0.215895
A,23841,3,b3,0,1,0.5,Pmy,1,1,1,10.0049,0.09715,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.410548
A,23842,3,b3,0,1,0.5,W,1,1,1,14.7768,0.172525,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.27807
A,23842,3,b3,0,1,0.5,Em,1,1,1,13.689,0.061161,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,-0.0182611
A,23842,3,b3,0,1,0.5,Pmz,1,1,1,-9.88094,0.08941,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,-0.17916
A,23842,3,b3,0,1,0.5,Pmy,1,1,1,9.99931,0.080422,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.404997
A,23844,3,b3,0,1,0.5,W,1,1,1,15.12,0.146151,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.6213
A,23844,3,b3,0,1,0.5,Em,1,1,1,13.5898,0.049562,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,-0.117401
A,23844,3,b3,0,1,0.5,Pmz,1,1,1,-9.81701,0.074374,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,-0.115229
A,23844,3,b3,0,1,0.5,Pmy,1,1,1,9.97584,0.06824,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.381524
A,23845,3,b3,0,1,0.5,W,1,1,1,15.0596,0.149743,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.56085
