setting,dp_idx,dp_label,run,var,y_obs,y_err,y_pred,resid,pull
B,2,b2,23849,Em,0.687041,0.227733,0.850109,-0.163068,-0.716048
B,2,b2,23849,Pmz,1.65485,0.310791,1.03734,0.617504,1.98688
B,2,b2,23849,Pmy,11.3571,0.264421,11.62,-0.26296,-0.994474
B,2,b2,23850,W,11.7056,0.793173,12.1214,-0.415799,-0.524222
B,2,b2,23850,Em,1.19397,0.208805,0.850109,0.343861,1.64681
B,2,b2,23850,Pmz,0.860397,0.29634,1.03734,-0.176945,-0.5971
B,2,b2,23850,Pmy,11.7702,0.25213,11.62,0.150191,0.59569
B,2,b2,23851,W,11.4005,0.699839,12.1214,-0.720948,-1.03016
B,2,b2,23851,Em,0.672687,0.193418,0.850109,-0.177422,-0.917297
B,2,b2,23851,Pmz,0.613643,0.311091,1.03734,-0.423699,-1.36198
B,2,b2,23851,Pmy,11.6946,0.230894,11.62,0.0745472,0.322864
B,3,b3,23849,W,15.9514,0.753124,17.0151,-1.06364,-1.4123
B,3,b3,23849,Em,2.59219,0.208763,2.7752,-0.183009,-0.876634
B,3,b3,23849,Pmz,0.184641,0.293566,-0.174292,0.358933,1.22267
B,3,b3,23849,Pmy,12.746,0.258205,13.0589,-0.312849,-1.21163
B,3,b3,23850,W,17.6921,0.67291,17.0151,0.677018,1.0061
B,3,b3,23850,Em,3.02095,0.21253,2.7752,0.245756,1.15634
B,3,b3,23850,Pmz,-0.351134,0.28857,-0.174292,-0.176842,-0.612821
B,3,b3,23850,Pmy,13.1892,0.240207,13.0589,0.130269,0.542319
B,3,b3,23851,W,17.1593,0.616048,17.0151,0.144257,0.234164
B,3,b3,23851,Em,2.7315,0.187594,2.7752,-0.0436948,-0.232922
B,3,b3,23851,Pmz,-0.34122,0.285969,-0.174292,-0.166928,-0.583727
B,3,b3,23851,Pmy,13.1876,0.229959,13.0589,0.128755,0.559904
B,4,b4,23849,W,21.7835,0.694471,20.9438,0.839665,1.20907
B,4,b4,23849,Em,5.32413,0.217922,5.35962,-0.0354881,-0.162848
B,4,b4,23849,Pmz,-1.42904,0.289752,-1.34289,-0.0861451,-0.297306
B,4,b4,23849,Pmy,14.4572,0.262513,14.192,0.265186,1.01018
B,4,b4,23850,W,20.533,0.565792,20.9438,-0.410845,-0.726142
B,4,b4,23850,Em,5.33625,0.200715,5.35962,-0.0233631,-0.116399
B,4,b4,23850,Pmz,-1.17539,0.252154,-1.34289,0.167501,0.66428
B,4,b4,23850,Pmy,14.1658,0.245285,14.192,-0.0261804,-0.106735
B,4,b4,23851,W,20.786,0.587306,20.9438,-0.157835,-0.268744
B,4,b4,23851,Em,5.41011,0.195045,5.35962,0.0504899,0.258863
B,4,b4,23851,Pmz,-1.44918,0.257063,-1.34289,-0.106282,-0.413448
B,4,b4,23851,Pmy,14.0102,0.230807,14.192,-0.181815,-0.787738
B,5,b5,23849,W,25.4987,0.653608,26.0478,-0.549036,-0.840008
B,5,b5,23849,Em,8.94431,0.241246,9.13085,-0.186541,-0.773239
B,5,b5,23849,Pmz,-3.83673,0.27101,-4.1013,0.264568,0.97623
B,5,b5,23849,Pmy,14.9178,0.288928,15.3062,-0.388346,-1.34409
B,5,b5,23850,W,26.5812,0.643187,26.0478,0.533427,0.829349
B,5,b5,23850,Em,8.99455,0.233208,9.13085,-0.136307,-0.584486
B,5,b5,23850,Pmz,-4.34734,0.281648,-4.1013,-0.246042,-0.87358
B,5,b5,23850,Pmy,15.4366,0.280408,15.3062,0.130424,0.465124
B,5,b5,23851,W,26.0462,0.612234,26.0478,-0.00159319,-0.00260226
B,5,b5,23851,Em,9.42475,0.226841,9.13085,0.293894,1.2956
B,5,b5,23851,Pmz,-4.13344,0.253408,-4.1013,-0.032141,-0.126835
B,5,b5,23851,Pmy,15.5272,0.271698,15.3062,0.220961,0.813261
